"","art","treatment","phase","Plant_height","SLA","LDMC","Thickness"
"1","Agrostis_canina","0","building",24.1,171.802579830274,441.456074722874,0.101533333333333
"2","Agrostis_canina","0","pioneer",12.2,77.6252636184533,496.273711936102,0.0927333333333333
"3","Agrostis_canina","50","building",22.4,148.165390496551,471.31527867805,0.122133333333333
"4","Agrostis_canina","50","pioneer",13.6,93.7587393919033,686.459867304108,0.132133333333333
"5","Agrostis_canina","90","building",20.5,108.46848681119,621.039589561566,0.130233333333333
"6","Agrostis_canina","90","mature",36,NA,386.753814295544,0.0858333333333333
"7","Agrostis_canina","90","pioneer",14.8,113.413558193656,507.227580443985,0.146466666666667
"8","Agrostis_capillaris","0","pioneer",13.6,102.249109519959,509.493478126504,0.1106
"9","Agrostis_capillaris","50","building",18,122.732246602133,503.075071561965,0.150033333333333
"10","Agrostis_capillaris","50","pioneer",5.6,65.8165666158628,620.684042823758,0.145933333333333
"11","Agrostis_capillaris","90","building",19.6,251.038053309141,377.040825877128,0.09224
"12","Agrostis_capillaris","90","mature",10,135.923309788093,510.298661174047,0.071
"13","Agrostis_capillaris","90","pioneer",15.8333333333333,115.719010336421,442.886948856341,0.12275
"14","Antennaria_diocia","50","pioneer",2.2,121.21607120626,331.748261632985,0.2618
"15","Antennaria_diocia","90","pioneer",3.1,97.9268990574464,289.512718988002,0.236333333333333
"16","Anthoxanthum_odoratum","0","building",15,205.76743617461,333.762303342124,0.117111111111111
"17","Anthoxanthum_odoratum","0","pioneer",8.46666666666667,135.825991922114,297.160313592073,0.156866666666667
"18","Anthoxanthum_odoratum","50","building",22.6,103.577080393378,404.32337239582,0.2326
"19","Anthoxanthum_odoratum","50","pioneer",10.8,141.167639586376,446.427789017806,0.1565
"20","Anthoxanthum_odoratum","90","building",28,164.78578892372,412.766875134785,0.119
"21","Anthoxanthum_odoratum","90","pioneer",14.25,82.2553434584529,336.371896848085,0.148777777777778
"22","Avenella_flexuosa","0","building",10.6,110.0931570382,343.065531289106,0.219466666666667
"23","Avenella_flexuosa","0","mature",9,155.878224056316,275.138428368077,0.227666666666667
"24","Avenella_flexuosa","0","pioneer",8.2,85.2754878665352,341.362817119906,0.2218
"25","Avenella_flexuosa","50","building",10.3333333333333,118.644938575124,320.862261909147,0.224833333333333
"26","Avenella_flexuosa","50","mature",8.4,119.025019811563,412.041729706892,0.176733333333333
"27","Avenella_flexuosa","50","pioneer",8.25,95.0683194632959,533.752814953157,0.156533333333333
"28","Avenella_flexuosa","90","building",10.2,119.840784952293,330.262817047433,0.221833333333333
"29","Avenella_flexuosa","90","mature",26.8,110.694565246485,422.434136200751,0.156866666666667
"30","Avenella_flexuosa","90","pioneer",13.2307692307692,56.2077895951423,380.151025051034,0.199717948717949
"31","Calluna_vulgaris","0","building",34.2,52.2065224541164,544.105195406701,0.3646
"32","Calluna_vulgaris","0","mature",37.4,56.8393140544031,400.515908638792,0.357933333333333
"33","Calluna_vulgaris","0","pioneer",15.5333333333333,38.639861975276,425.520473008689,0.342977777777778
"34","Calluna_vulgaris","50","building",31.3636363636364,49.6584768615202,545.839025380423,0.342484848484849
"35","Calluna_vulgaris","50","mature",32.3333333333333,57.7906484684432,508.964237296322,0.239466666666667
"36","Calluna_vulgaris","50","pioneer",14.75,70.0209866396439,457.144654722301,0.321229166666667
"37","Calluna_vulgaris","90","building",30.5333333333333,69.5501469713633,513.478321860483,0.333
"38","Calluna_vulgaris","90","mature",34.7333333333333,60.6985547729017,502.250907219869,0.330270833333333
"39","Calluna_vulgaris","90","pioneer",14.8666666666667,50.5843614065817,416.924189292382,0.370977777777778
"40","Campanula_rotundifolia","0","pioneer",10.4444444444444,144.46401581682,293.928814544723,0.159481481481481
"41","Campanula_rotundifolia","50","pioneer",18.2,210.541426050149,305.86859288652,0.143333333333333
"42","Campanula_rotundifolia","90","pioneer",12.6,134.197734859905,302.871970926847,0.164666666666667
"43","Carex_binervis","0","mature",31.4,117.074698164956,472.824755086097,0.163333333333333
"44","Carex_binervis","50","mature",19,103.012417000189,326.890760368716,0.2146
"45","Carex_echinata","50","mature",25,137.516172036902,347.294712403988,0.180282051282051
"46","Carex_nigra","50","mature",24.6,116.75038875469,633.025643762533,0.187933333333333
"47","Carex_nigra","90","mature",8,192.200357781753,272.491344827454,0.1125
"48","Carex_panicea","0","pioneer",7.8,52.3954000774156,385.542718415517,0.246333333333333
"49","Carex_panicea","50","building",15,137.911597893487,393.618507213773,0.153333333333333
"50","Carex_panicea","90","building",11,122.149858791524,393.810745817839,0.17030303030303
"51","Carex_pilulifera","0","building",11.6,170.487353360479,432.784754310729,0.128666666666667
"52","Carex_pilulifera","0","pioneer",7.06666666666667,83.5720362909557,401.189694936416,0.168333333333333
"53","Carex_pilulifera","50","building",11.8,176.540178905222,466.318750025322,0.127133333333333
"54","Carex_pilulifera","50","pioneer",8,147.621148512331,460.242986123789,0.126733333333333
"55","Carex_pilulifera","90","building",11.5454545454545,122.459401533278,507.891644554541,0.135818181818182
"56","Carex_pilulifera","90","mature",17.4,212.959528752628,407.108061667788,0.1088
"57","Carex_pilulifera","90","pioneer",8.73333333333333,114.614336485734,433.261371396391,0.156644444444444
"58","Chamaepericlymenum_suecicum","0","pioneer",5.06666666666667,93.0721457588933,431.560957426086,0.146266666666667
"59","Chamaepericlymenum_suecicum","50","building",7.4,372.805403335085,373.221558934405,0.0928
"60","Chamaepericlymenum_suecicum","50","pioneer",5.13333333333333,170.214220317735,409.000029758251,0.164555555555556
